url,title,total_word_count,unique_word_count,response_time,stylesheet_count,script_count,link_count
https://www.azstateparks.com,Arizona State Parks & Trails,1127,428,1.4335598945617676,4,10,184
https://www.dcnr.pa.gov/StateParks,Department of Conservation and Natural Resources | Department of Conservation and Natural Resources| Commonwealth of Pennsylvania,808,415,0.7196738719940186,5,23,207
https://www.dnr.illinois.gov/parks,State Parks & Outdoor Recreation,627,366,0.39080309867858887,5,9,144
https://www.floridastateparks.org,Home | Florida State Parks,639,375,0.08777523040771484,3,6,74
https://www.fs.usda.gov,Home | US Forest Service,1000,497,0.294419527053833,34,13,117
https://www.harvard.edu,Harvard University,2336,1120,0.11211419105529785,5,18,191
https://www.mit.edu,MIT - Massachusetts Institute of Technology,366,271,0.24087882041931152,1,5,61
https://www.nps.gov,NPS.gov Homepage (U.S. National Park Service),752,477,0.1191399097442627,5,22,263
https://www.parks.ca.gov,California State Parks,636,372,0.4872245788574219,15,24,120
https://www.parks.wa.gov,Home | Washington State Parks,784,382,0.18870949745178223,96,83,56
https://www.stanford.edu,Stanford University,700,425,0.13286304473876953,6,14,107
https://www.ucla.edu,A World Leader in Education and Research Excellence | UCLA,1875,1007,0.12333059310913086,3,16,193
https://www.utexas.edu,Home | University of Texas at Austin,1050,576,0.10058379173278809,2,8,116
https://www.yale.edu,Yale University,702,441,0.12665724754333496,12,18,109
